Druck Unsicherheit Kanal0 Kanal1 Kanal2 Kanal3 Kanal4 Kanal5 Kanal6 Kanal7 Kanal8 Kanal9 Kanal10 Kanal11 Kanal12 Kanal13 Kanal14 Kanal15 Kanal16 Kanal17 Kanal18 Kanal19 Kanal20 Kanal21 Kanal22 Kanal23 Kanal24 Kanal25 Kanal26 Kanal27 Kanal28 Kanal29 Kanal30 Kanal31 Kanal32 Kanal33 Kanal34 Kanal35 Kanal36 Kanal37 Kanal38 Kanal39 Kanal40 Kanal41 Kanal42 Kanal43
-998.213947 7.09979962 10241.0 13638.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30735.0 30729.0 30754.0 31103.0 30843.0 30982.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12407.0 38456.0 63687.0 15219.0 32458.0 25551.0 60155.0 43605.0
-998.244852 7.0997897 10241.0 13641.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30737.0 30730.0 30754.0 31105.0 30843.0 30985.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12626.0 38459.0 63687.0 15219.0 32458.0 25551.0 26268.0 43605.0
-998.245433 7.09978147 10241.0 13644.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 30737.0 30730.0 30752.0 31103.0 30842.0 30984.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12845.0 38456.0 63687.0 15219.0 32458.0 25551.0 50605.0 43605.0
-998.248883 7.09978513 10241.0 13648.0 801.0 596.0 581.0 564.0 307.0 30.0 7.0 48.0 30738.0 30730.0 30756.0 31105.0 30842.0 30985.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13137.0 38455.0 63687.0 15219.0 32458.0 25551.0 38092.0 43605.0
-998.174332 7.09979276 10241.0 13651.0 801.0 596.0 581.0 565.0 308.0 30.0 7.0 48.0 30737.0 30731.0 30754.0 31106.0 30845.0 30985.0 54949.0 54935.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13356.0 38455.0 63687.0 15219.0 32458.0 25551.0 52641.0 43605.0
-998.100907 7.09978834 10241.0 13654.0 801.0 596.0 581.0 564.0 308.0 30.0 7.0 48.0 30738.0 30731.0 30753.0 31103.0 30845.0 30984.0 54949.0 54934.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13575.0 38455.0 63687.0 15219.0 32458.0 25551.0 11118.0 43605.0
1.17584753 7.00008897 10241.0 13983.0 801.0 596.0 581.0 564.0 307.0 32.0 6.0 48.0 34625.0 34614.0 34641.0 34987.0 34728.0 34869.0 54946.0 54933.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 37592.0 38459.0 63687.0 15219.0 32458.0 25551.0 57020.0 43605.0
1.178708 7.00010361 10241.0 13986.0 801.0 596.0 581.0 565.0 308.0 32.0 6.0 48.0 34625.0 34613.0 34638.0 34990.0 34729.0 34869.0 54948.0 54933.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 37811.0 38456.0 63687.0 15219.0 32458.0 25551.0 43182.0 43605.0
1.246406 7.00015014 10241.0 13989.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 34627.0 34615.0 34642.0 34990.0 34729.0 34871.0 54946.0 54933.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38030.0 38459.0 63687.0 15219.0 32458.0 25551.0 2880.0 43605.0
1.43615116 7.00015792 10241.0 13992.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 34628.0 34615.0 34640.0 34987.0 34730.0 34871.0 54946.0 54933.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38249.0 38459.0 63687.0 15219.0 32458.0 25551.0 29918.0 43605.0
1.37989505 7.00014602 10241.0 13995.0 801.0 596.0 581.0 565.0 308.0 32.0 6.0 48.0 34628.0 34618.0 34641.0 34991.0 34730.0 34870.0 54946.0 54933.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38468.0 38456.0 63687.0 15219.0 32458.0 25551.0 26906.0 43605.0
1.49259796 7.00018126 10241.0 13998.0 801.0 596.0 581.0 564.0 308.0 32.0 6.0 48.0 34629.0 34617.0 34641.0 34991.0 34730.0 34871.0 54946.0 54933.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 4095.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38687.0 38459.0 63687.0 15219.0 32458.0 25551.0 17165.0 43605.0
